customer_id,name,email,loyalty_tier,region
99bd9ea9-d9c8-4ede-b153-eaa5127f987e,Patricia Cardenas,velasquezmark@example.com,Silver,Castroshire
53c7cc45-f498-4139-ab23-df73f6615e77,Laura Jordan,invalid_email,Bronze,Allisonbury
57bccd37-cb5c-46b9-830e-751afd2b5d79,Dean Simpson,bakerseth@example.net,Gold,West Sarah
d860e12a-4e81-41bf-a0bf-8a3128a987f9,Kenneth Bryant,invalid_email,Gold,New Edwardton
63fbc0e6-5dba-4a1f-bb40-d9605bea068b,David Gonzalez,invalid_email,Bronze,West Deannafort
1f7b1905-45e6-46f7-a020-986c9e9f4871,Patrick Foley,russellcarl@example.com,,Cindyview
169bdb8a-51b6-4355-a9a4-7d08ade92633,Sarah Arnold,melissaperez@example.org,,New Derekchester
0c0bff03-66bb-4de0-9453-de4369fb2ae7,Kayla Henry,invalid_email,Silver,Williammouth
a9c35032-682e-401c-87c6-083fb7428ed6,Richard Williams,invalid_email,Bronze,Christopherport
798fa01e-dd1b-492f-97a9-62c28ff9574c,Christian Harris,invalid_email,Silver,Rebeccaborough
b6f12e68-49b9-4fbc-b4bd-afd6086715cd,Donna Bradley,invalid_email,Silver,East Courtney
fb1b389c-38f8-48f3-8429-e4901414e3ff,John Young,pattersonanthony@example.net,,Dawsonport
905eee31-253a-4926-9699-6e92346c54fe,Cody Walsh,austin86@example.net,Silver,West Isabelland
aa7ed094-cf69-4f21-be12-67a28febd6a4,Nathan Ramos Jr.,awilliams@example.com,Bronze,East Darlene
86a3e077-b726-4327-a7dd-c8330007f12a,Christian Romero,invalid_email,Gold,Adamsstad
2d147fba-4a34-41ae-81e8-1b05ee753cbc,Matthew Hebert,sandrabecker@example.org,Silver,West Stacybury
f4ba4ccf-548d-48e8-9841-6e8197699cea,Gary Burton,tbryan@example.net,Bronze,Williamsborough
ef5caba2-9e85-40f3-97d0-d3e35170870b,James Reed,invalid_email,Bronze,Freemanmouth
629bb09d-a7ad-4407-a9fa-8b85ff51acd8,Amber Taylor,invalid_email,,Lake Sheilafort
cdd757fb-dba0-4388-8d1c-295f1c453041,Jonathon Thompson,keithware@example.org,Gold,New Whitney
d6eaa8a4-ad5c-46b7-a2ae-7635629b5e1b,David Abbott,invalid_email,Silver,Teresaland
c70971c2-31ff-4b04-9385-180cdaf43f91,Daniel Hamilton,smithhannah@example.com,Gold,Smithshire
6fa7cccc-3cbb-43e6-acc6-0487ac98859a,Makayla George,invalid_email,Bronze,Karenborough
033f9445-8b5a-4df6-9c29-a04ea974d4c7,Donald Wright,lesarah@example.net,,Lake Davidfort
80e74a50-63b2-45e4-b823-b2bf22a53b24,Alejandra Levy,julia23@example.org,Silver,Claytonton
88de2900-3392-41d0-8838-1267e7d14879,Gabrielle Rios,invalid_email,,Johnmouth
e1ade217-4bb4-465e-a31d-da3d1878e4a1,Douglas Kelly,invalid_email,Bronze,Jerrytown
5e7d5beb-2ebd-4167-92f7-d7ce3de061d5,Dr. Amy Roberson,invalid_email,Silver,North Trevor
78e0100b-1f05-4438-93c1-1b5ad2608de8,Pamela Reynolds,invalid_email,Bronze,Smithfort
d88093c6-ecdc-4e1e-bd08-27ddb4790e1a,Crystal Williams,perezmartha@example.net,Gold,Gonzalezville
1fd0aa66-51fe-4734-8f04-a86630f3ce35,Steven Callahan,angela04@example.org,Bronze,Port Gregside
97c3deae-0f9f-4bef-88b8-ad1e92191a23,Ashley Holland,invalid_email,Bronze,Moralesberg
278b2876-4920-40b7-90a2-9fbf4d3a9dcf,Deborah Jordan,invalid_email,Silver,Nicholsstad
7b53f5d4-0136-4bd4-b0b4-31aec723e66e,Heather Reynolds MD,invalid_email,Bronze,Lloydport
79df1c8d-2e5d-4378-9bcb-47fd1fadda96,Mary Yang,invalid_email,Silver,West Amy
83166c6e-83c1-4a45-ad51-8080e4f3dd62,Elizabeth Chambers,rgraves@example.com,,Tracytown
ca15cf78-a8fc-4dde-a7d0-dfd7fec5db70,Sandra Kelly,invalid_email,Bronze,East Ginaburgh
9ff5c50f-2426-40b4-a3fc-a42708225a0f,Mr. John Cox Jr.,invalid_email,Gold,Davidton
f1f8dd0f-0661-40d1-acbf-6484ff530742,Ronald Lynch,invalid_email,Silver,Shanefurt
0faa8706-9e5d-47a4-9316-52794a7ed5ab,Laura Lopez,invalid_email,Bronze,Hillchester
254e735a-4c05-458e-83ae-17b7c31396d7,Jorge Frazier,vgreen@example.com,Silver,South Tammie
01b595b7-a5b1-4060-97ab-1bc43838caef,Leah Stewart,invalid_email,Gold,New Kendra
e994ba15-a94e-4b33-8c3c-cf3757fb282c,Sarah Dominguez,invalid_email,Silver,South Joshua
8b9c7627-6242-42ae-b7a0-c6ab75f39a1c,Christopher Choi,uwagner@example.org,Gold,Lake Nicholas
fa90964a-c83a-4435-a5a2-0a2563436e7a,Jason Banks,mlin@example.org,Gold,Howardfort
a0ba5e79-044a-43d2-bb00-17c1be438024,Jenny Walker,invalid_email,Silver,Davidland
89dd796f-c27d-4e94-ba32-325b32576a12,Justin Rush,sosacourtney@example.net,,Hansenborough
6931c8fd-b56d-4db2-ae82-216a984ea3d0,Donald Martinez,tcole@example.net,Bronze,West Amberport
88959791-dadc-4780-9a7e-158ac94be190,Michelle Cain,stephanie32@example.net,Bronze,Schmidthaven
5364f4ca-adc5-4373-ab4c-0dca944db8d4,Christopher Hartman,rjones@example.net,Gold,Jamesbury
